MODIFIED_ZCTA,02-Apr-2020,03-Apr-2020,04-Apr-2020,05-Apr-2020,06-Apr-2020,07-Apr-2020,08-Apr-2020,09-Apr-2020,10-Apr-2020,11-Apr-2020,12-Apr-2020,13-Apr-2020,14-Apr-2020,15-Apr-2020,16-Apr-2020,17-Apr-2020,18-Apr-2020,19-Apr-2020,20-Apr-2020,21-Apr-2020,22-Apr-2020,23-Apr-2020,24-Apr-2020,25-Apr-2020,26-Apr-2020,27-Apr-2020,28-Apr-2020,29-Apr-2020,30-Apr-2020,01-May-2020,02-May-2020,03-May-2020,04-May-2020,05-May-2020,06-May-2020,07-May-2020,08-May-2020,09-May-2020,10-May-2020,11-May-2020,12-May-2020,13-May-2020,14-May-2020,15-May-2020,16-May-2020,17-May-2020,18-May-2020,19-May-2020,20-May-2020,21-May-2020,22-May-2020,23-May-2020,24-May-2020,25-May-2020,26-May-2020,27-May-2020,28-May-2020,29-May-2020,30-May-2020,31-May-2020,01-Jun-2020,02-Jun-2020,03-Jun-2020,04-Jun-2020,05-Jun-2020,06-Jun-2020,07-Jun-2020,08-Jun-2020,09-Jun-2020,10-Jun-2020,11-Jun-2020,12-Jun-2020,13-Jun-2020,14-Jun-2020,15-Jun-2020,16-Jun-2020,17-Jun-2020,18-Jun-2020,19-Jun-2020,20-Jun-2020,21-Jun-2020,22-Jun-2020,23-Jun-2020,24-Jun-2020,25-Jun-2020,26-Jun-2020,27-Jun-2020,28-Jun-2020,30-Jun-2020,01-Jul-2020,02-Jul-2020,03-Jul-2020,04-Jul-2020,05-Jul-2020,06-Jul-2020,07-Jul-2020,08-Jul-2020,09-Jul-2020,10-Jul-2020,11-Jul-2020,12-Jul-2020,13-Jul-2020,14-Jul-2020,15-Jul-2020,16-Jul-2020,17-Jul-2020,18-Jul-2020,19-Jul-2020,20-Jul-2020,21-Jul-2020,22-Jul-2020,23-Jul-2020,24-Jul-2020,25-Jul-2020,26-Jul-2020,27-Jul-2020,28-Jul-2020,29-Jul-2020,30-Jul-2020,31-Jul-2020,01-Aug-2020,02-Aug-2020,03-Aug-2020,04-Aug-2020,05-Aug-2020,06-Aug-2020,07-Aug-2020,08-Aug-2020,09-Aug-2020,10-Aug-2020,11-Aug-2020,12-Aug-2020,13-Aug-2020,14-Aug-2020,15-Aug-2020,16-Aug-2020,17-Aug-2020,18-Aug-2020,19-Aug-2020,20-Aug-2020,21-Aug-2020,22-Aug-2020,23-Aug-2020,24-Aug-2020,25-Aug-2020,26-Aug-2020,27-Aug-2020,28-Aug-2020,29-Aug-2020,30-Aug-2020,31-Aug-2020,01-Sep-2020,02-Sep-2020,03-Sep-2020,04-Sep-2020,05-Sep-2020,07-Sep-2020,08-Sep-2020,09-Sep-2020,10-Sep-2020,11-Sep-2020,12-Sep-2020,14-Sep-2020,15-Sep-2020,16-Sep-2020,17-Sep-2020,18-Sep-2020,19-Sep-2020,20-Sep-2020,21-Sep-2020,22-Sep-2020,23-Sep-2020,24-Sep-2020,25-Sep-2020,26-Sep-2020,27-Sep-2020,28-Sep-2020,29-Sep-2020,30-Sep-2020,01-Oct-2020,02-Oct-2020,03-Oct-2020,04-Oct-2020,05-Oct-2020,06-Oct-2020
11233,0,77,23,31,0,56,16,53,53,5,52,25,32,18,51,37,28,20,22,20,15,25,46,24,123,-90,16,10,17,23,7,20,15,7,12,8,7,9,11,5,0,0,4,9,6,7,4,4,6,-1,6,8,2,1,5,2,2,4,3,2,5,5,5,5,2,5,1,1,1,0,0,2,1,1,1,4,5,3,4,5,0,0,2,3,4,6,4,3,8,11,4,2,2,7,1,2,1,4,1,2,1,1,3,2,1,1,4,1,0,5,0,1,3,3,2,0,3,3,1,5,2,2,3,3,2,2,2,2,1,1,1,5,2,3,1,5,0,0,2,0,3,1,0,1,0,0,4,0,3,0,0,0,0,3,2,3,1,0,0,4,0,1,4,3,1,1,2,5,1,0,2,1,0,2,3,4,3,5,4,2,5,6,4,2,0
11234,0,167,43,50,0,135,48,137,85,15,105,40,71,157,66,50,35,34,24,44,25,61,57,33,299,-253,16,17,20,13,23,23,10,6,11,8,8,19,18,5,6,7,7,14,16,3,8,3,6,4,3,5,6,2,4,5,6,8,8,3,3,5,4,4,3,3,3,3,1,0,4,2,4,1,0,2,5,2,1,1,6,2,5,5,1,1,0,2,2,2,1,9,1,6,1,1,4,3,0,2,1,4,3,1,6,6,7,5,1,1,0,2,-1,5,0,1,2,1,7,5,2,4,3,5,2,8,4,3,3,2,1,5,4,3,3,8,2,1,3,3,2,3,3,2,1,1,3,3,3,3,2,2,6,6,4,5,5,1,1,6,3,2,0,9,1,5,4,9,1,6,7,3,6,7,5,5,5,4,10,10,9,11,9,7,9
11235,0,73,38,28,0,101,42,127,67,19,68,43,38,64,82,68,52,35,22,28,19,51,42,38,287,-235,40,28,32,19,17,32,17,13,19,17,6,12,10,53,4,6,11,14,21,10,3,7,5,2,5,6,9,3,1,8,5,7,12,11,4,-2,5,6,4,6,3,5,1,2,1,4,1,3,2,0,5,3,3,2,3,0,1,3,7,2,2,4,9,3,1,5,1,7,4,1,1,3,0,5,6,2,1,9,3,4,4,2,2,6,0,7,0,4,0,6,4,3,3,6,2,5,0,6,6,6,4,6,3,1,4,5,5,4,4,9,0,10,3,6,3,8,3,1,2,1,2,2,-1,1,2,6,0,5,3,1,4,0,3,5,6,4,7,2,2,7,3,13,1,8,3,1,6,7,15,8,6,13,12,7,16,9,11,5,8
11236,0,202,58,52,0,143,67,131,88,27,129,39,87,119,79,70,53,68,31,40,23,68,61,46,349,-289,32,15,31,24,23,24,22,9,20,17,5,29,30,32,4,10,11,22,11,14,9,8,8,5,7,4,9,10,7,13,16,13,7,8,5,6,4,3,5,11,0,6,5,3,5,14,9,8,2,1,6,7,6,3,14,6,2,2,3,1,2,3,15,7,5,3,3,13,0,2,3,4,5,2,2,1,4,3,3,3,1,1,0,4,2,0,5,4,1,0,6,3,7,6,7,1,1,2,7,4,8,3,5,3,1,1,3,2,1,3,2,1,3,4,1,2,2,2,1,1,0,6,3,1,1,6,2,4,1,1,3,1,0,7,4,1,0,3,1,4,0,6,0,3,4,1,2,1,3,2,1,3,4,3,2,3,2,0,10
11237,0,51,23,16,0,46,14,41,36,10,30,9,21,8,34,24,10,10,14,9,6,22,29,16,117,-84,20,3,13,13,23,16,13,8,4,12,8,4,10,4,1,5,3,12,14,4,6,6,6,0,2,2,4,2,1,2,10,5,10,1,5,0,7,5,2,1,2,6,4,4,2,3,2,2,2,2,0,2,1,4,3,2,2,1,4,1,1,2,2,0,4,3,0,2,0,1,4,6,2,1,7,2,5,0,2,6,2,2,3,6,-1,1,-3,4,1,1,3,6,1,2,0,0,0,1,2,3,1,1,1,2,3,1,4,4,1,3,0,3,1,3,1,2,2,0,2,2,2,2,-1,0,1,1,1,4,0,4,2,0,0,0,0,1,-1,2,1,1,0,2,1,2,3,2,1,1,4,1,-1,5,6,1,6,5,1,0,8
11238,0,70,19,11,0,56,11,31,26,5,36,6,12,10,15,18,8,12,6,12,5,19,15,8,103,-88,7,6,12,4,3,6,7,3,6,2,3,7,10,4,3,1,6,10,13,2,0,3,6,0,5,4,1,1,1,3,1,2,1,1,1,6,4,1,4,8,4,0,2,2,2,3,1,4,3,2,2,1,3,0,1,2,0,0,2,2,0,2,2,2,3,0,6,5,0,0,0,2,3,1,3,2,2,2,0,0,2,0,2,2,0,2,-1,4,1,2,2,1,1,1,0,2,2,1,2,3,4,1,1,1,0,1,1,0,2,3,1,0,3,0,1,3,1,0,1,0,-1,1,1,3,0,2,5,0,2,2,0,0,1,5,1,0,3,2,2,1,3,1,2,2,0,2,-2,1,5,2,2,0,0,3,2,3,3,1,2
11239,0,43,9,20,0,15,7,20,22,9,20,11,14,18,16,15,13,2,3,12,3,10,13,8,81,-67,5,5,7,5,4,7,3,1,2,6,2,0,4,8,2,1,7,4,1,3,4,0,2,2,1,0,1,0,3,1,3,2,3,4,1,5,2,0,1,2,1,0,1,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,2,1,1,1,2,1,1,1,0,0,1,0,0,0,0,3,3,3,1,4,1,1,0,0,0,0,-1,1,-1,1,0,0,2,0,1,0,0,0,1,1,1,1,4,3,0,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
11354,0,71,27,25,0,40,27,42,46,10,39,22,20,14,39,43,55,21,17,22,19,33,36,36,143,-117,9,12,21,6,9,11,13,6,15,7,4,6,10,5,2,50,26,17,9,5,3,4,6,2,5,1,2,1,2,4,4,5,2,4,-2,4,2,5,6,7,11,5,1,2,1,3,7,0,5,0,3,6,4,3,8,1,2,1,1,13,5,3,5,2,6,9,3,2,2,0,2,4,7,1,6,2,4,3,4,5,1,1,0,4,3,3,9,2,-1,2,1,4,2,1,5,1,0,1,3,1,6,5,2,2,1,4,3,2,1,1,1,0,3,0,7,5,2,1,-4,1,3,7,2,2,1,7,7,0,10,10,0,14,0,1,3,2,-1,2,0,4,-1,1,0,2,0,1,1,0,1,1,2,3,5,3,4,4,2,1,1
11355,0,95,25,32,0,47,14,49,52,11,49,24,28,18,26,34,39,21,22,23,12,32,49,20,179,-149,20,15,13,18,11,14,13,15,13,1,7,11,14,10,3,2,6,14,7,6,12,9,9,3,5,4,2,1,2,10,4,0,6,6,0,2,3,0,6,6,5,3,4,3,3,6,9,1,2,2,4,17,3,2,9,2,3,3,4,7,4,12,7,3,10,12,11,9,2,5,10,3,6,0,3,6,1,7,5,1,11,4,0,8,0,4,2,7,3,1,7,2,3,-1,2,0,1,2,2,2,3,-1,4,1,1,4,1,5,1,0,1,3,3,2,3,1,1,2,2,5,2,5,-1,1,2,1,1,0,2,2,5,2,4,1,-2,0,2,0,0,1,4,1,-1,1,2,1,2,1,3,3,1,1,1,3,-1,1,4,0,2
11356,0,41,9,17,0,28,4,22,24,2,28,11,17,10,15,6,7,7,6,12,5,17,15,12,82,-58,4,3,8,3,7,5,-1,4,6,1,2,2,6,6,0,0,3,9,3,2,5,2,3,0,0,1,2,4,1,0,2,0,0,2,2,1,2,1,1,1,0,1,0,7,1,3,2,1,0,1,1,0,0,0,1,0,2,2,1,2,0,2,3,1,3,2,1,0,0,1,1,2,0,1,2,1,0,1,0,0,3,1,2,0,0,1,-1,2,0,2,0,0,2,0,0,1,1,6,1,4,1,1,3,2,2,2,2,0,1,1,1,1,0,0,0,-1,3,2,-3,0,0,2,1,1,0,1,1,2,0,0,1,0,1,2,-1,1,1,0,0,1,0,0,1,2,3,0,0,4,0,0,1,1,1,0,0,2,0,0,0
