MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS
11427,Bellerose/Hollis Hills/Holliswood,Queens,814,3506.75,23212.38,51,219.71,20.77,3920
11428,Queens Village,Queens,692,3580.4,19327.45,54,279.4,23.45,2951
11429,Queens Village,Queens,1001,3570.37,28036.33,75,267.51,22.16,4517
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,1914,3028.7,63195.4,252,398.76,20.43,9369
11433,Jamaica,Queens,991,2750.05,36035.76,79,219.23,20.61,4808
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,2185,3235.31,67536.11,194,287.25,22.01,9929
11435,Briarwood/Jamaica,Queens,1699,2946.39,57663.84,149,258.39,20.26,8386
11436,South Jamaica/South Ozone Park,Queens,558,2681.74,20807.42,44,211.46,21.03,2653
11691,Edgemere/Far Rockaway,Queens,2529,3905.25,64759.02,367,566.72,19.21,13167
11692,Arverne/Edgemere,Queens,661,3285.25,20120.24,92,457.25,17.85,3703
11693,Arverne/Broad Channel,Queens,345,2786.47,12381.27,29,234.22,19.36,1782
11694,Belle Harbor-Neponsit/Rockaway Park,Queens,756,3713.93,20355.78,87,427.4,20.34,3716
11697,Breezy Point,Queens,110,3110.25,3536.69,4,113.1,8.42,1307
