MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,Queens,889,2018.12,44050.79,67,152.1,14.3,6218
11366,Fresh Meadows/Hillcrest,Queens,404,2932.34,13777.39,27,195.97,19.21,2103
11367,Kew Gardens Hills/Pomonok,Queens,1098,2611.85,42039.24,67,159.37,16.6,6616
11368,Corona/North Corona,Queens,4877,4370.3,111594.1,442,396.08,22.63,21554
11369,Airport/East Elmhurst,Queens,1684,4618.48,36462.23,177,485.43,23.91,7044
11370,Jackson Heights/Rikers Island,Queens,1399,4270.63,32758.65,64,195.37,22.81,6133
11372,Jackson Heights,Queens,2680,4283.69,62562.88,254,405.99,19.91,13461
11373,Elmhurst,Queens,3382,3641.42,92875.81,295,317.63,19.23,17591
11374,Rego Park,Queens,1124,2673.16,42047.63,99,235.45,16.84,6675
11375,Forest Hills,Queens,1503,2130.31,70552.99,181,256.54,14.55,10327
11377,Woodside,Queens,2390,2764.01,86468.55,192,222.05,15.55,15374
11378,Maspeth,Queens,781,2257.65,34593.45,73,211.02,14.79,5282
11379,Middle Village,Queens,857,2367.69,36195.55,97,267.99,15.22,5632
11385,Glendale/Ridgewood,Queens,2301,2235.5,102929.91,140,136.01,16.08,14312
11411,Cambria Heights,Queens,711,3469.26,20494.26,50,243.97,23.37,3043
11412,St. Albans,Queens,1293,3286.15,39346.92,91,231.28,22.39,5776
11413,Laurelton/Rosedale,Queens,1369,3136.46,43647.97,102,233.69,22.59,6060
11414,Hamilton Beach/Howard Beach/Lindenwood,Queens,835,2954.13,28265.56,62,219.35,21.17,3945
11415,Kew Gardens,Queens,552,2869.88,19234.25,51,265.15,17.48,3158
11416,Ozone Park,Queens,748,2810.51,26614.42,55,206.65,21.23,3523
11417,Ozone Park,Queens,918,2935.66,31270.63,46,147.1,19.56,4693
11418,Richmond Hill,Queens,1173,3078.32,38105.16,107,280.8,20.55,5708
11419,Richmond Hill/South Ozone Park,Queens,1263,2483.83,50848.81,96,188.79,21.67,5829
11420,South Ozone Park,Queens,1428,2949.46,48415.71,107,221,21.84,6538
11421,Woodhaven,Queens,1248,2956.68,42209.49,102,241.65,20.56,6070
11422,Rosedale,Queens,1033,3063.32,33721.62,67,198.69,21.74,4752
11423,Hollis/Holliswood,Queens,1125,3511.11,32041.14,104,324.58,22.68,4961
11426,Bellerose,Queens,513,2519.24,20363.28,34,166.97,19.16,2677
11427,Bellerose/Hollis Hills/Holliswood,Queens,816,3515.37,23212.38,51,219.71,20.4,4000
11428,Queens Village,Queens,693,3585.57,19327.45,54,279.4,23.12,2998
11429,Queens Village,Queens,1002,3573.93,28036.33,75,267.51,21.74,4609
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,1917,3033.45,63195.4,252,398.76,20.04,9567
11433,Jamaica,Queens,991,2750.05,36035.76,79,219.23,20.16,4915
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,2190,3242.71,67536.11,194,287.25,21.65,10116
11435,Briarwood/Jamaica,Queens,1700,2948.12,57663.84,149,258.39,19.83,8571
11436,South Jamaica/South Ozone Park,Queens,559,2686.54,20807.42,44,211.46,20.55,2720
11691,Edgemere/Far Rockaway,Queens,2534,3912.97,64759.02,367,566.72,18.93,13386
11692,Arverne/Edgemere,Queens,663,3295.19,20120.24,92,457.25,17.62,3763
11693,Arverne/Broad Channel,Queens,345,2786.47,12381.27,29,234.22,18.85,1830
11694,Belle Harbor-Neponsit/Rockaway Park,Queens,756,3713.93,20355.78,87,427.4,19.96,3787
11697,Breezy Point,Queens,111,3138.53,3536.69,4,113.1,8.39,1323
10001,Chelsea/NoMad/West Chelsea,Manhattan,409,1735.77,23563.03,24,101.85,8.4,4868
10002,Chinatown/Lower East Side,Manhattan,1183,1541.26,76755.41,159,207.15,11.73,10083
10003,East Village/Gramercy/Greenwich Village,Manhattan,496,921.91,53801.62,34,63.2,6.35,7805
10004,Financial District,Manhattan,36,986.14,3650.61,1,27.39,6.79,530
10005,Financial District,Manhattan,74,881.36,8396.11,2,23.82,6.19,1196
10006,Financial District,Manhattan,34,983.29,3457.77,0,0,6.2,548
10007,TriBeCa,Manhattan,67,812.15,8249.73,3,36.36,5.19,1292
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,763,1298.77,58747.99,69,117.45,8.5,8977
10010,Flatiron/Gramercy/Kips Bay,Manhattan,292,902.02,32371.86,19,58.69,5.48,5324
10011,Chelsea,Manhattan,561,1133.32,49500.52,43,86.87,6.94,8083
